Species
Caluromys_derbianus
Caluromys_philander
Gracilinanus_microtarsus
Hemibelideus_lemuroides
Marmosa_robinsoni
Micoureus_demerarae
Pseudocheirus_peregrinus
Trichosurus_vulpecula
Callimico_goeldii
Callithrix_argentata
Callithrix_geoffroyi
Callithrix_pygmaea
Eliurus_webbi
Funisciurus_pyrropus
Genetta_maculata
Glis_glis_(Myoxus_Glis)
Leontopithecus_chrysomela
Lophiomys_ibeanus
Nandinia_binotata
Paguma_larvata
Paradoxurus_hermaphroditus
Paraxerus_cepapi
Prionodon_linsang
Rattus_andamanensis
Ratufa_bicolor
Saguinus_oedipus
Saimiri_sciureus
Sciurus_aberti
Sciurus_carolinensis
Tupaia_minor
Dasypus_novemcinctus
Amblysomus_hottentotus
Aplodontia_rufa
Chaetodipus_fallax
Cryptomys_hottentotus
Euphractus_sexcinctus
Geomys_pinetis
Microtus_pennsylvanicus
Pappogeomys_merriami
Rhizomys_sumatrensis
Scapanus_orarius
Thomomys_bottae
Petaurus_breviceps
Glaucomys_sabrinus
Glaucomys_volans
Aepyprymnus_rufescens
Potorous_tridactylus
Allactaga_mongolica
Dipodomys_deserti
Jaculus_jaculus
Didelphis_marsupialis
Didelphis_virginiana
Echinops_telfairi
Gulo_gulo
Heliosciurus_rufobrachium
Oncifelis_geoffroyi
Suricata_suricatta
Tupaia_glis
Urocyon_cinereoargenteus
Ornithorhynchus_anatinus
Mustela_vison_mink
Ondatra_zibethicus
Myrmecobius_fasciatus
Cynomys_ludovicianus
Mephitis_mephitis
Octodon_degus
Solenodon_paradoxus
Spilogale_putorius
Synaptomys_cooperi
Taxidea_taxus
Hemicentetes_semispinosus
Antechinus_swainsonii
Dasycercus_byrnei
Dasyurus_hallucatus
Dasyurus_viverrinus
Isoodon_macrourus
Metachirus_nudicaudatus
Monodelphis_domestica
Perameles_nasuta
Philander_opossum
Sarcophilus_laniarius
Cavia_porcellus
Cerdocyon_thous
Crossarchus_alexanidri
Echinosorex_gymnura
Elephantulus_rufescens
Galictis_guja
Herpestes_brachyurus
Herpestes_edwardsi
Microgale_talazaci
Mustela_erminea
Mustela_putorius
Neotoma_bryanti
Nesomys_rufus
Octodontomys_gliroides
Petrodromus_tetradactylus
Prionailurus_planiceps
Tatera
Tupaia_longipes
Tupaia_tana
Vulpes_Vulpes
