NO,Sp No,Community,Climate Code,Order,Family,Species,Common name,Body size (g),BS rank,Diet,Diet rank,Locomotor mode,Locomotor rank,Other (reference),,What changed in the dataset,
14,175,Big black mountain,331,Rodentia,Cricetidae,Reithrodontomys_humulis,Eastern harvest mouse ,9.15,1,O,3,T  ,4,Stalling 1997,,,
14,176,Big black mountain,331,Rodentia,Cricetidae,Peromyscus_maniculatus,Deer mouse ,30,1,O,3,Sc,3,,,,
14,177,Big black mountain,331,Rodentia,Cricetidae,Peromyscus_leucopus,White footed mouse ,20,1,O,3,Sc,3,,,,
14,178,Big black mountain,331,Rodentia,Cricetidae,Ochrotomys_nuttalli,Golden mouse ,14.75,1,G,4,A,2,Linzey and Packard 1977,,,
14,179,Big black mountain,331,Rodentia,Cricetidae,Neotoma_magister,Allegheny wood rat ,348.5,3,H,6,T,4,Castleberry et al 2006,,,
14,180,Big black mountain,331,Rodentia,Cricetidae,Synaptomys_cooperi,south Bog lemming,35.7,2,H,6,Sf ,6,Linzey 1983; Nowak 1999: 1483),,,
14,181,Big black mountain,331,Rodentia,Cricetidae,Myodes_gapperi,Red-backed vole ,35,2,H,6,T  ,4,,,,
14,182,Big black mountain,331,Rodentia,Cricetidae,Microtus_pinetorum,Pine vole ,24.9,1,H,6,Sf,6,Smolen 1981,,,
14,183,Big black mountain,331,Rodentia,Cricetidae,Ondatra_zibethicus,Muskrat ,1800,4,H,6,Sq,5,,,,
14,184,Big black mountain,331,Rodentia,Muridae,Mus_musculus,House mouse ,21,1,O,3,T,4,Nowak 1999: 1607,,,
14,185,Big black mountain,331,Rodentia,Muridae,Rattus_norvegicus,Norway rat ,297.5,3,O,3,T,4,Verts and Carraway 1998: 290,,,
14,186,Big black mountain,331,Rodentia,Muridae,Napaeozapus_insignis,Woodland jumping mouse ,30,1,O,3,T,4,,,,
14,187,Big black mountain,331,Lagomorpha,Leporidae,Sylvilagus_floridanus,Cottontail ,1800,4,H,6,T,4,,,,
14,188,Big black mountain,331,Lagomorpha,Leporidae,Sylvilagus_transitionalis,New England cottontail,1350,4,H,6,T,4,,,,
15,189,"Maekang, Western Sichun CHN",323,Rodentia,Muridae,Apodemus_draco,,32.5,2,O,3,Sc,3,Nowak 1999: 1500,,,
15,190,"Maekang, Western Sichun CHN",323,Rodentia,Muridae,Apodemus_latronum,,32.5,2,O,3,Sc,3,Nowak 1999: 1500,,,
15,191,"Maekang, Western Sichun CHN",323,Rodentia,Muridae,Apodemus_peninsulae,,32.5,2,O,3,Sc,3,Nowak 1999: 1500,,,
15,192,"Maekang, Western Sichun CHN",323,Rodentia,Muridae,Eospalax_fontanireri,,356.5,3,H,6,F,7,Nowak 1999: 1429,,,
15,193,"Maekang, Western Sichun CHN",323,Rodentia,Muridae,Eozapus_setchuanus,Chinese jumping mouse ,17.5,1,H,6,S,8,Nowak 1999: 1332,"(Smith and Xie, 2013: 98)",,
15,194,"Maekang, Western Sichun CHN",323,Rodentia,Muridae,Neodon_irene,IreneÍs Mountain Vole,100,2,H,6,T  ,4,"Based on Nowak 1999: 1470; Smith Xie 2010, 2013",,,
15,195,"Maekang, Western Sichun CHN",323,Rodentia,Muridae,Microtus_limnophilus,Lacustrine Vole,100,2,H,6,T,4,"Based on Nowak 1999: 1470; Smith Xie 2010, 2013",,,
15,196,"Maekang, Western Sichun CHN",323,Rodentia,Muridae,Micromys_minutus,Old World Harvest Mouse,6,1,O,3,Sc,3,Nowak 1999: 1504,,,
15,197,"Maekang, Western Sichun CHN",323,Rodentia,Muridae,Niviventer_confucianus,,65,2,O,3,T,4,Nowak 1999: 1573,,,
15,198,"Maekang, Western Sichun CHN",323,Rodentia,Muridae,Sicista_concolor,Birch mouse,10,1,O,3,Sc,3,Nowak 1999: 1330,,,
15,199,"Maekang, Western Sichun CHN",323,Eulipotyphla,Soricidae,Chodsigoa_hypsibia,Asiatic shrew,10.5,1,C,1,T,4,Nowak 1999: 214,,,
15,200,"Maekang, Western Sichun CHN",323,Eulipotyphla,Soricidae,Sorex_cylindricauda,long-tailed shrew,10.05,1,O,3,T,4,Nowak 1999: 206,,,
15,201,"Maekang, Western Sichun CHN",323,Eulipotyphla,Soricidae,Sorex_thibetanus,long-tailed shrew,10.05,1,O,3,T,4,Nowak 1999: 206,,,
15,202,"Maekang, Western Sichun CHN",323,Eulipotyphla,Soricidae,Uropsilus_soricipes,Asiatic shrew moles,16,1,C,1,T,4,Nowak 1999: 230,,,
15,203,"Maekang, Western Sichun CHN",323,Lagomorph,Ochotonidae,Ochotona_cansus,Pika,262.5,3,H,6,Sc,3,Nowak 1999: 1718,,,
16,204,Khao Nang Rum Research Station THL,120,Rodentia,Muridae,Maxomys_surifer,red spiny rat,164.5,3,O,3,T,4,Nowak 1999: 1574,,,
16,205,Khao Nang Rum Research Station THL,120,Rodentia,Muridae,Leopoldamys_sabanus,long-tailed giant rat,347.5,3,O,3,Sc,3,Nowak 1999: 1575,,,
16,206,Khao Nang Rum Research Station THL,120,Rodentia,Muridae,Rattus_rattus,black rat ,92.5,2,O,3,Sc,3,Nowak 1999: 1517,,,
16,207,Khao Nang Rum Research Station THL,120,Rodentia,Muridae,Niviventer_fulvescens,White-bellied rat,73,2,I ,2,T,4,Nowak 1999,Zhou et al 2011),,
16,208,Khao Nang Rum Research Station THL,120,Rodentia,Muridae,Berylmys_berdmorei,small white-toothed rat,413.5,3,O,3,T,4,Nowak 1999: 1576,,,
16,209,Khao Nang Rum Research Station THL,120,Rodentia,Muridae,Mus_cervicolor,fawn-colored mouse,21,1,O,3,F,7,Nowak 1999: 1607,,,
16,210,Khao Nang Rum Research Station THL,120,Rodentia,Sciuridae,Menetes_berdmorei,Indochinese ground squirrel,195,3,F,5,Sc,3,Nowak 1999: 1287, (Walker and Rabinowitz 1992),,
16,211,Khao Nang Rum Research Station THL,120,Scandentia,Tupaiidae,Tupaia_glis,common tree shrew,142,3,I,2,Sc,3, (Walker and Rabinowitz 1992),,,
16,212,Khao Nang Rum Research Station THL,120,Erinaceomorpha,Erinaceidae,Hylomys_suillus,short-tailed gymnure,47.5,2,I,2,T,4,Nowak 1999: 170,,,
16,213,Khao Nang Rum Research Station THL,120,Soricomorpha,Soricidae,Crocidura_fuliginosa,Southeast Asian shrew,14,1,C,1,T,4,Nowak 1999: 221,,,
17,214,"MDF, Gandhi Wildlife Sancturay IND",130,Rodentia,Muridae,Rattus_rattus,Roof rat ,101,2,O,3,Sc,3,Nowak 1999: 1519,,,
17,215,"MDF, Gandhi Wildlife Sancturay IND",130,Rodentia,Muridae,Mus_platythrix,House mouse ,28.05,1,I,2,T,4,Nowak 1999: 1607,,,
17,216,"MDF, Gandhi Wildlife Sancturay IND",130,Rodentia,Sciuridae,Funambulus_tristriatus,Asiatic Striped palm squirrels,141.5,3,O,3,Sc,3,Nowak 1999: 1274,,,
17,217,"MDF, Gandhi Wildlife Sancturay IND",130,Rodentia,Muridae,Madromys_blanfordi,,104,2,O ,3,A,2, (Shanker 2001),(Shenbrot et al 1994),,
17,218,"MDF, Gandhi Wildlife Sancturay IND",130,Rodentia,Muridae,Golunda_ellioti,,81.3,2,H,6,T,4,Nowak 1999: 1564,,,
18,219,Cristobal Panama Canal Zone,120,Didelphimorphia,Didelphidae,Didelphis_marsupialis,southern opossum,6000,5,O,3,Sc,3,0.5-5.5 kg (Nowak 1999; whole genus),,The locomotor mode is followed Nowak 1999,
18,220,Cristobal Panama Canal Zone,120,Didelphimorphia,Didelphidae,Caluromys_derbianus,Central American woolly opossum,300,3,O,3,A,2,200-500 g (Nowak 1999; whole genus),,,
18,221,Cristobal Panama Canal Zone,120,Didelphimorphia,Didelphidae,Marmosa_robinsoni,Robinson's mouse opossum,100,2,O,3,Sc,3,60-130 (Nowak 1999),,,
18,222,Cristobal Panama Canal Zone,120,Didelphimorphia,Didelphidae,Philander_opossum,gray four-eyed opossum,500,3,O,3,Sc,3,200-660 (Nowak 1999),T (Nowak 1999),,
18,223,Cristobal Panama Canal Zone,120,Didelphimorphia,Didelphidae,Metachirus_nudicaudatus,brown four-eyed opossum,600,4,O,3,Sc,3,91-480 (Nowak 1999),,,
18,224,Cristobal Panama Canal Zone,120,Didelphimorphia,Didelphidae,Chironectes_minimus,water opossum,750,4,I,2,Sq,5,,,,
18,225,Cristobal Panama Canal Zone,120,Primate,Aotidae,Aotus_trivirgatus,three-striped night monkey,1000,4,O,3,A,2,,,,
18,226,Cristobal Panama Canal Zone,120,Primate,Cebidae,Cebus_capucinus,White-headed Capuchin,2500,5,O,3,A,2,,,,
18,227,Cristobal Panama Canal Zone,120,Pilosa,Myrmecophagidae ,Tamandua_tetradactyla,southern tamandua,3000,5,I,2,Sc,3,2-7kg (Nowak 1999; whole genus),,,
18,228,Cristobal Panama Canal Zone,120,Pilosa,Bradypodidae ,Bradypus_variegatus,three-toed sloth,4000,5,H,6,A,2,2.25-6.2kg (Nowak 1999; whole genus),,,
18,229,Cristobal Panama Canal Zone,120,Cingulata,Dasypodidae,Dasypus_novemcinctus,nine-banded armadillo,6000,5,I,2,T,4,,,,
18,230,Cristobal Panama Canal Zone,120,Rodentia,Sciuridae,Sciurus_granatensis,red-tailed squirrel,600,4,O,3,Sc,3,200-1000 (Nowak 1999; whoe genus),,,
18,231,Cristobal Panama Canal Zone,120,Rodentia,Sciuridae,Sciurus_variegatoides,variegated squirrel,400,3,O,3,Sc,3,200-1000 (Nowak 1999; whoe genus),,,
18,232,Cristobal Panama Canal Zone,120,Rodentia,Heteromyidae,Heteromys_desmarestianus,Desmarest's spiny pocket mouse,70,2,G,4,T,4,,,,
18,233,Cristobal Panama Canal Zone,120,Rodentia,Cricetidae,Hylaeamys_megacephalus,,50,2,O,3,T,4,40-80 (Nowak 1999; whole genus),,,
18,234,Cristobal Panama Canal Zone,120,Rodentia,Cricetidae,Oryzomys_bicolor,,50,2,O,3,T,4,40-80 (Nowak 1999; whole genus),,,
18,235,Cristobal Panama Canal Zone,120,Rodentia,Cricetidae,Sigmodontomys_alfari,water rat,65,2,O,3,T,4,160-420 (Nowak 1999; whole genus),Sa (Nowak 1999),,
18,236,Cristobal Panama Canal Zone,120,Rodentia,Cricetidae,Tylomys_panamensis,Panamanian climbing rat,300,3,F,5,Sc,3,,A (Nowak 1999),,
18,237,Cristobal Panama Canal Zone,120,Rodentia,Erethizontidae ,Coendou_rothschildi,Rothschild's porcupine,4000,5,H,6,A,2,0.9-5kg (Nowak 1999; whole genus),,,
18,238,Cristobal Panama Canal Zone,120,Rodentia,Echimyidae,Proechimys_semispinosus,Tome's spiny-rat,300,3,F,5,T,4,~500 (Nowak 1999),,,
18,239,Cristobal Panama Canal Zone,120,Rodentia,Echimyidae,Diplomys_darlingi,rufous soft-furred spiny-rat,300,3,F,5,Sc,3,,,,
18,240,Cristobal Panama Canal Zone,120,Rodentia,Echimyidae,Hoplomys_gymnurus,armored rat,300,3,F,5,T,4,218-790 (Nowak 1999),,,
18,241,Cristobal Panama Canal Zone,120,Rodentia,Dasyproctidae,Dasyprocta_punctata,Central American agouti,4000,5,F,5,T,4,1.3-4kg (Nowak 1999; whole genus),,,
18,242,Cristobal Panama Canal Zone,120,Lagomorpha,Leporidae,Sylvilagus_brasiliensis,Tapeti,1800,4,H,6,T,4,246-2700 (Nowak 1999; whole genus),,,
18,243,Cristobal Panama Canal Zone,120,Carnivora,Mustelidae,Galictis_allamandi,grison,3000,5,C,1,T,4,1.4-3.3 kg (Nowak 1999; whole genus,,,
18,244,Cristobal Panama Canal Zone,120,Carnivora,Mustelidae,Eira_barbara,tayra,5000,5,O,3,Sc,3,4-5kg (Nowak 1999),,,
18,245,Cristobal Panama Canal Zone,120,Carnivora,Procynoidae,Potos_flavus,kinkajou,2500,5,F,5,A,2,1.4-4.6kg (Nowak 1999),,,
18,246,Cristobal Panama Canal Zone,120,Carnivora,Procynoidae,Bassaricyon_gabbii,northern olingo ,1500,4,F,5,A,2,970-1500 (Nowak 1999; whole genus),,,
19,247,Balboa Panama Canal Zone,120,Didelphimorphia,Didelphidae,Didelphis_marsupialis,southern opossum,6000,5,O,3,Sc,3,0.5-5.5 kg (Nowak 1999; whole genus),,The locomotor mode is followed Nowak 1999,
19,248,Balboa Panama Canal Zone,120,Didelphimorphia,Didelphidae,Caluromys_derbianus,Central American woolly opossum,300,3,O,3,A,2,200-500 g (Nowak 1999; whole genus),,,
19,249,Balboa Panama Canal Zone,120,Didelphimorphia,Didelphidae,Marmosa_robinsoni,Robinson's mouse opossum,100,2,O,3,Sc,3,60-130 (Nowak 1999),,,
19,250,Balboa Panama Canal Zone,120,Didelphimorphia,Didelphidae,Philander_opossum,gray four-eyed opossum,500,3,O,3,Sc,3,200-660 (Nowak 1999),T (Nowak 1999),,
19,251,Balboa Panama Canal Zone,120,Didelphimorphia,Didelphidae,Metachirus_nudicaudatus,brown four-eyed opossum,600,4,O,3,Sc,3,91-480 (Nowak 1999),,,
19,252,Balboa Panama Canal Zone,120,Primates,Cebidae,Saguinus_geoffroyi,Geoffroy's tamarin,900,4,O,3,A,2,,,,
19,253,Balboa Panama Canal Zone,120,Primates,Aotidae,Aotus_trivirgatus,three-striped night monkey,1000,4,O,3,A,2,,,,
19,254,Balboa Panama Canal Zone,120,Pilosa,Myrmecophagidae ,Tamandua_tetradactyla,southern tamandua,3000,5,I,2,Sc,3,2-7kg (Nowak 1999; whole genus),,,
19,255,Balboa Panama Canal Zone,120,Pilosa,Myrmecophagidae ,Cyclopes_didactylus,silky anteater,300,3,I,2,A,2,175-357 (Nowak 1999; whole genus),,,
19,256,Balboa Panama Canal Zone,120,Pilosa,Bradypodidae ,Bradypus_variegatus,three-toed sloth,4000,5,H,6,A,2,2.25-6.2kg (Nowak 1999; whole genus),,,
19,257,Balboa Panama Canal Zone,120,Cingulata,Dasypodidae,Dasypus_novemcinctus,nine-banded armadillo,6000,5,I,2,T,4,,,,
19,258,Balboa Panama Canal Zone,120,Rodentia,Sciuridae,Sciurus_granatensis,red-tailed squirrel,600,4,O,3,Sc,3,200-1000 (Nowak 1999; whoe genus),A (Nowak 1999),,
19,259,Balboa Panama Canal Zone,120,Rodentia,Sciuridae,Sciurus_variegatoides,variegated squirrel,400,3,O,3,Sc,3,200-1000 (Nowak 1999; whoe genus),A (Nowak 1999),,
19,260,Balboa Panama Canal Zone,120,Rodentia,Heteromyidae,Liomys_adspersus,Panamanian spiny pocket mouse,57,2,G,5,T,4,,,,
19,261,Balboa Panama Canal Zone,120,Rodentia,Cricetidae,Hylaeamys_megacephalus,,50,2,O,3,T,4,40-80 (Nowak 1999; whole genus),,,
19,262,Balboa Panama Canal Zone,120,Rodentia,Cricetidae,Oecomys_concolor ,,55,2,O,3,Sc,3,40-80 (Nowak 1999; whole genus),,,
19,263,Balboa Panama Canal Zone,120,Rodentia,Cricetidae,Sigmodontomys_alfari,water rat,65,2,O,3,T,4,160-420 (Nowak 1999; whole genus),Sa (Nowak 1999),,
19,264,Balboa Panama Canal Zone,120,Rodentia,Cricetidae,Nyctomys_sumichrasti,vesper rat,60,2,F,5,Sc,3,39-61 (Nowak 1999),A (Nowak 1999),,
19,265,Balboa Panama Canal Zone,120,Rodentia,Cricetidae,Tylomys_panamensis,Panamanian climbing rat,300,3,F,5,Sc,3,,A (Nowak 1999),,
19,266,Balboa Panama Canal Zone,120,Rodentia,Cricetidae,Zygodontomys_brevicauda,short-tailed cane mouse,100,2,O,3,T,4,,,,
19,267,Balboa Panama Canal Zone,120,Rodentia,Cricetidae,Sigmodon_hispidus,hispid cotton rat,200,3,H,6,T,4,"70-211 (Nowak, 1999; whole genus)",,,
19,268,Balboa Panama Canal Zone,120,Rodentia,Erethizontidae ,Coendou_rothschildi,Rothschild's porcupine,4000,5,H,6,A,2,0.9-5kg (Nowak 1999; whole genus),,,
19,269,Balboa Panama Canal Zone,120,Rodentia,Echimyidae,Proechimys_semispinosus,Tome's spiny-rat,300,3,F,5,T,4,~500 (Nowak 1999),,,
19,270,Balboa Panama Canal Zone,120,Rodentia,Echimyidae,Diplomys_darlingi,rufous soft-furred spiny-rat,300,3,F,5,Sc,3,,,,
19,271,Balboa Panama Canal Zone,120,Rodentia,Dasyproctidae,Dasyprocta_punctata,Central American agouti,4000,5,F,5,T,4,1.3-4kg (Nowak 1999; whole genus),,,
19,272,Balboa Panama Canal Zone,120,Lagomorpha,Leporidae,Sylvilagus_brasiliensis,Tapeti,1800,4,H,6,T,4,246-2700 (Nowak 1999; whole genus),,,
19,273,Balboa Panama Canal Zone,120,Carnivora,Mustelidae,Galictis_allamandi,grison,3000,5,C,1,T,4,1.4-3.3 kg (Nowak 1999; whole genus,,,
19,274,Balboa Panama Canal Zone,120,Carnivora,Mustelidae,Eira_barbara,tayra,5000,6,O,3,Sc,3,4-5kg (Nowak 1999),,,
19,275,Balboa Panama Canal Zone,120,Carnivora,Procynoidae,Potos_flavus,kinkajou,2500,5,F,5,A,2,1.4-4.6kg (Nowak 1999),,,
19,276,Balboa Panama Canal Zone,120,Carnivora,Procynoidae,Bassaricyon_gabbii,northern olingo ,1500,5,F,5,A,2,970-1500 (Nowak 1999; whole genus),,,
20,277,Kinabalu National Park MYS,110,Rodentia,Muridae,Chiropodomys_major,Large pencil-tailed tree mouse ,29,1,H,6,A,2,Nowak 1999: 1502,,,
20,278,Kinabalu National Park MYS,110,Rodentia,Muridae,Maxomys_baeodon,Small spiny rat ,164.5,3,O,3,T,4,Nowak 1999: 1574,,,
20,279,Kinabalu National Park MYS,110,Rodentia,Muridae,Maxomys_whiteheadi,WhiteheadÍs rat,164.5,3,O,3,T,4,Nowak 1999: 1574,,,
20,280,Kinabalu National Park MYS,110,Rodentia,Muridae,Maxomys_surifer,Red spiny rat ,164.5,3,O,3,T,4,Nowak 1999: 1574,,,
20,281,Kinabalu National Park MYS,110,Rodentia,Muridae,Niviventer_cremoriventer,Dark-tailed tree rat ,91,2,O,3,Sc ,3,Wells  et al 2007,,,
20,282,Kinabalu National Park MYS,110,Rodentia,Muridae,Lenothrix_canus,Grey tree rat ,177,3,O,3,A,2,Nowak 1999: 1496,,,
20,283,Kinabalu National Park MYS,110,Rodentia,Sciuridae ,Sundasciurus_lowii,LowÍs squirrel ,67,2,F,5,T,4,Nowak 1999: 1287,,,
20,284,Kinabalu National Park MYS,110,Rodentia,Sciuridae ,Sundasciurus_hippurus,Horse-tailed squirrel ,359,3,F,5,Sc,3,Nowak 1999: 1287,,,
20,285,Kinabalu National Park MYS,110,Rodentia,Sciuridae ,Sundasciurus_brookei,BrookeÍs squirrel ,123.5,2,O,3,Sc,3, Thorington et al. 2012:183,,,
20,286,Kinabalu National Park MYS,110,Rodentia,Sciuridae ,Callosciurus_notatus,Plantain squirrel ,325,3,O,3,A,2,Nowak 1999: 1284,,,
20,287,Kinabalu National Park MYS,110,Rodentia,Sciuridae ,Hylopetes_spadiceus,Red-cheeked flying squirrel,118.5,2,O,3,G,1,Nowak 1999: 1301,,,
20,288,Kinabalu National Park MYS,110,Rodentia,Hystricidae ,Trichys_fasciculata,Long-tailed porcupine ,2000,4,H,6,T,4,Nowak 1999: 1644,,,
20,289,Kinabalu National Park MYS,110,Scandentia,Tupaidae ,Tupaia_minor,Lesser treeshrew ,200,3,I,2,A,2,"Nowak 1999: 245; Sargis, 2001; Kirk et al., 2008",,,
20,290,Kinabalu National Park MYS,110,Scandentia,Tupaidae ,Tupaia_gracilis,Slender treeshrew ,200,3,I,2,T,4,Nowak 1999: 245,,,
20,291,Kinabalu National Park MYS,110,Scandentia,Tupaidae ,Tupaia_longipes,Plain treeshrew ,200,3,I,2,T,4,Nowak 1999: 245,,,
20,292,Kinabalu National Park MYS,110,Scandentia,Tupaidae ,Tupaia_tana,Large treeshrew ,200,3,I,2,T,4,Nowak 1999: 245,,,
20,293,Kinabalu National Park MYS,110,Scandentia,Tupaidae ,Ptilocercus_lowii,Pentail treeshrew ,42.5,2,O,3,A,2,Nowak 1999: 249,,,
20,294,Kinabalu National Park MYS,110,Carnivora,Viverridae,Herpestes_brachyurus,Short-tailed mongoose ,2250,4,C,1,T,4,Nowak 1999: 773,,,
20,295,Kinabalu National Park MYS,110,Primate,Lorisidae,Nycticebus_coucang,Slow lori,1187.5,4,C,1,A,2,Nowak 1999: 498,,,
21,296,Lambir Hills National Park MYS,110,Scandentia ,Tupaiidae ,Tupaia_tana,Large treeshrew ,200,3,I,2,T,4,Nowak 1999: 245,,,
21,297,Lambir Hills National Park MYS,110,Scandentia ,Tupaiidae ,Tupaia_splendidula,Ruddy treeshrew ,185,3,I,2,T,4,Nakagawa et al 2007,,,
21,298,Lambir Hills National Park MYS,110,Scandentia ,Tupaiidae ,Tupaia_glis,Common treeshrew ,200,3,I,2,Sc,3,"Van Valkenburgh, 1987; Nowak 1999: 245",,,
21,299,Lambir Hills National Park MYS,110,Scandentia ,Tupaiidae ,Tupaia_picta,Painted treeshrew ,200,3,I,2,Sc,3,"Endo et al., 2003",,,
21,300,Lambir Hills National Park MYS,110,Scandentia ,Tupaiidae ,Tupaia_minor,Lesser treeshrew ,200,3,I,2,A,2,"Nowak 1999: 245; Sargis, 2001; Kirk et al., 2008",,,
21,301,Lambir Hills National Park MYS,110,Scandentia ,Tupaiidae ,Tupaia_gracilis,Slender treeshrew ,200,3,I,2,T,4,Nowak 1999: 245,,,
21,302,Lambir Hills National Park MYS,110,Scandentia ,Tupaiidae ,Ptilocercus_lowii,Pentail treeshrew ,42.5,2,O,3,A,2,Nowak 1999: 249,,,
21,303,Lambir Hills National Park MYS,110,Rodentia,Muridae ,Niviventer_cremoriventer,Dark-tailed tree rat ,91,2,O,3,Sc ,3,Wells  et al 2007,,,
21,304,Lambir Hills National Park MYS,110,Rodentia,Muridae ,Maxomys_rajah,Brown spiny rat ,159.5,3,H,6,T,4,Nowak 1999: 1574,,,
21,305,Lambir Hills National Park MYS,110,Rodentia,Muridae ,Maxomys_whiteheadi,White headÍs rat ,159.5,3,H,6,T,4,Nowak 1999: 1574,,,
21,306,Lambir Hills National Park MYS,110,Rodentia,Muridae ,Sundamys_muelleri,MullerÍs rat ,424.5,3,O,3,T,4,Nowak 1999: 1506,,,
21,307,Lambir Hills National Park MYS,110,Rodentia,Muridae ,Chiropodomys_major,Large pencil-tailed tree-mouse ,29,1,O,3,A,2,Nowak 1999: 1502,,,
21,308,Lambir Hills National Park MYS,110,Rodentia,Muridae ,Leopoldamys_sabanus,Long-tailed giant rat ,347.5,3,O,3,T,4,,,,
21,309,Lambir Hills National Park MYS,110,Rodentia,Muridae ,Haeromys_margarettae,Ranee mouse ,100,2,G,4,A,2,Nowak 1999: 1505,,,
21,310,Lambir Hills National Park MYS,110,Rodentia,Muridae ,Lenothrix_canus,Grey tree rat ,177,3,O,3,A,2,Nowak 1999: 1496,,,
21,311,Lambir Hills National Park MYS,110,Rodentia,Muridae ,Mus_musculus,House mouse ,23,1,O,3,T,4,Nowak 1999: 1607,,,
21,312,Lambir Hills National Park MYS,110,Rodentia,Muridae ,Rattus_rattus,House rat ,142.5,3,O,3,Sc,3,Nowak 1999: 1519,,,
21,313,Lambir Hills National Park MYS,110,Rodentia,Muridae ,Rattus_exulans,Polynesian rat ,38,2,O,3,Sc,3,Nowak 1999: 1519,,,
21,314,Lambir Hills National Park MYS,110,Rodentia,Muridae ,Rattus_tiomanicus,Malaysian field rat ,142.5,3,O,3,Sc,3,Nowak 1999: 1519,,,
21,315,Lambir Hills National Park MYS,110,Rodentia,Sciuridae,Sundasciurus_lowii,LowÍs squirrel ,67,2,F,5,T,4,Nowak 1999: 1287,,,
21,316,Lambir Hills National Park MYS,110,Rodentia,Sciuridae,Callosciurus_notatus,Plantain squirrel ,325,3,O,3,A,2,Nowak 1999: 1284,,,
21,317,Lambir Hills National Park MYS,110,Insectivora ,Erinaceidae ,Echinosorex_gymnura,Moonrat ,1250,4,O,3,T,4,Nowak 1999: 173,,,
22,318,Katavi National Park TZ,130,Rodentia,Muridae,Mastomys_natalensis,Natal multimammate mouse,50,2,O ,3,T,4,(Nowak 1999),,,
22,319,Katavi National Park TZ,130,Rodentia,Cricetidae,Gerbilliscus_leucogaster,Bushveld Gerbil,73,2,O ,3,T ,4,(Nowak 1999),,,
22,320,Katavi National Park TZ,130,Rodentia,Cricetidae,Gerbilliscus_robustus,Fringe-tailed Gerbil,116,2,O,3,T,4,Nowak 1999,,,
22,321,Katavi National Park TZ,130,Rodentia,Muridae,Lemniscomys_striatus,Typical striped grass mouse,43,2,H,6,T,4,Nowak 1999,,,
22,322,Katavi National Park TZ,130,Rodentia,Muridae,Lemniscomys_griselda,Griselda's striped grass mouse,43,2,H,6,T,4,Nowak 1999,,,
22,323,Katavi National Park TZ,130,Rodentia,Muridae,Mastomys_natalensis,Smoky meadow rat,29.5,1,O,3,T,4,Nowak 1999,,,
22,324,Katavi National Park TZ,130,Rodentia,Muridae,Dasymys_incomtus,African Marsh Rat ,103.5,2,H,6,T,4,Nowak 1999,,,
22,325,Katavi National Park TZ,130,Rodentia,Muridae,Saccostomus_campestris,pouched mouse,67.5,2,G,4,T,4,Nowak 1999,,,
22,326,Katavi National Park TZ,130,Rodentia,Muridae,Mus_minutoides,African pygmy mouse,7.25,1,O,3,T,4,Nowak 1999,,,
22,327,Katavi National Park TZ,130,Rodentia,Muridae,Rattus_rattus,house rat,92.5,2,O,3,Sc,3,Nowak 1999,,,
22,328,Katavi National Park TZ,130,Rodentia,Gliridae,Graphiurus_murinus,woodland dormouse,24,1,O,3,A,2,Nowak 1999,,,
22,329,Katavi National Park TZ,130,Eulipotyphla,Soricidae,Crocidura_hirta,lesser red musk shrew,15.6,1,C,1,T,4,Nowak 1999:221,Kingdon et al 2013:89,,
23,330,Cerrado BRA,120,Didelphimorphia,Didelphidae,Chironectes_minimus,water opossum,695,4,C,1,Sq*,5,,"Diets are:C,carnivore;F,frugivoreG;,granivoreH;,herbivore;I,insecti- vore; 0, omnivore. ",,
23,331,Cerrado BRA,120,Didelphimorphia,Didelphidae,Didelphis_albiventris,white-eared opossum,1350,4,O,3,T,4,,,,
23,332,Cerrado BRA,120,Didelphimorphia,Didelphidae,Cryptonanus_chacoensis,chacoan gracile opossum,31.5,1,O,3,A,2,,,,
23,333,Cerrado BRA,120,Didelphimorphia,Didelphidae,Marmosa_murina,mouse opossums,36,2,O,3,T,4,,,,
23,334,Cerrado BRA,120,Didelphimorphia,Didelphidae,Monodelphis_americana,northern three-striped opossum,52.5,2,O,3,T,4,,,,
23,335,Cerrado BRA,120,Didelphimorphia,Didelphidae,Monodelphis_domestica,gray short-tailed opossum ,102.5,2,O,3,T,4,,,,
23,336,Cerrado BRA,120,Didelphimorphia,Didelphidae,Monodelphis_kunsi,Pygmy Short-tailed Opossum,12,1,I,2,T,4,,"Locomotor adaptationsare: A, arboreal;Aq, aquatic; C, cursorial;S, scansorial;Saq, semiaquatic;T, terrestri",,
23,337,Cerrado BRA,120,Rodentia,Cricetidae,Akodon_cursor,cursor grass mouse ,42.5,2,O,3,T,4,,,,
23,338,Cerrado BRA,120,Rodentia,Cricetidae,Necromys_lasiurus,hairy-tailed bolo mouse,102.5,2,O,3,T,4,,,,
23,339,Cerrado BRA,120,Rodentia,Cricetidae,Calomys_callosus,large vesper mouse,40,2,G,4,T,4,,,,
23,340,Cerrado BRA,120,Rodentia,Cricetidae,Calomys_tener,delicate vesper mouse,12,1,G,4,T,4,,,,
23,341,Cerrado BRA,120,Rodentia,Cricetidae,Nectomys_squamipes,South American water rat,325,3,O,3,Sq,5,,,,
23,342,Cerrado BRA,120,Rodentia,Cricetidae,Oryzomys_bicolor,,30,1,O,3,A,2,,,,
23,343,Cerrado BRA,120,Rodentia,Cricetidae,Hylaeamys_megacephalus,,57.5,2,O,3,T,4,,,,
